oui,company_name,address1,address2,country
a8:91:62,Sophos Ltd,The Pentagon,Abingdon  Oxfordshire  OX14 3YP,GB
b8:6c:e0,Hewlett Packard Enterprise,8000 Foothills Blvd.,Roseville    95747,US
e4:40:97,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,",DONG GUAN  GUANG DONG  523860,CN
dc:b4:ca,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,",DONG GUAN  GUANG DONG  523860,CN
94:3b:b1,"Kaon Group Co., Ltd.",KAONMEDIA Building 513-4,"Sungnam-City  Kyonggi-Do  463-839, KOREA",KR
44:f0:34,"Kaon Group Co., Ltd.","884-3, Seongnam-daero, Bundang-gu",Seongnam-si  Gyeonggi-do  13517,KR
50:16:f4,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza,Chicago  IL  60654,US
3c:08:cd,Juniper Networks,1133 Innovation Way,Sunnyvale  CA  94089,US
88:8f:10,"Shenzhen Max Infinite Technology Co.,Ltd.","Room 908 Building 2, Aviation&Space Building, No.53 Gaoxin South 9th Road, Gaoxin Community, Yuehai Street,Nanshan District, Shenzhen",Shenzhen  Guangdong  518000,CN
68:50:5d,Halo Technologies,15775 Gateway Cir,Tustin  CA  92780,US
7c:6a:8a,"SINOBONDER Technology Co., Ltd.","Building 1, No. 245, Guanchang Road, Dongcheng District",Dongguan  Guangdong  523000,CN
90:ec:e3,Nokia,600 March Road,Kanata  Ontario  K2K 2E6,CA
88:7b:2c,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China",shenzhen   guangdong  518057,CN
60:db:ef,Unify Software and Solutions GmbH & Co. KG,Otto-Hahn-Ring 6,Munich    81739,DE
40:84:32,Microchip Technology Inc.,2355 W. Chandler Blvd.,Chandler  AZ  85224,US
88:b5:ff,"Shenzhen iComm Semiconductor CO.,LTD","Room 601,Block B ,Digital Building,Garden City","Shenzhen  No.1079 Nanhai Road,Nanshan District  518067",CN
84:28:59,Amazon Technologies Inc.,P.O Box 8102,Reno  NV  89507,US
ac:c0:48,"OnePlus Technology (Shenzhen) Co., Ltd","18C02, 18C03, 18C04 ,18C05,TAIRAN BUILDING,",Shenzhen  Guangdong  518000,CN
90:56:07,"Sichuan AI-Link Technology Co., Ltd.","Anzhou,Industrial Park","Anzhou,Industrial Park  Sichuan  621000",CN
48:31:33,Robert Bosch Elektronika Kft.,Robert Bosch út 1.,Hatvan    3000,HU
b8:ab:61,Cisco Meraki,500 Terry A. Francois Blvd,San Francisco    94158,US
44:d5:c1,EM Microelectronic,Rue des Sors 3,Marin-Epagnier  Neuchatel  2074,CH
40:b7:fc,Phyplus Microelectronics Limited,304 Building 1 No.608 Sheng Xia Road,Shanghai    200000,CN
68:2c:4f,leerang corporation,"#101,69, Jongam-ro 28-gil, Seongbuk-gu",seoul    02797,KR
fc:59:c0,Arista Networks,5453 Great America Parkway,Santa Clara  CA  95054,US
64:1b:2f,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong",Gumi  Gyeongbuk  730-350,KR
68:dd:b7,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24(floors 1,3,4,5)and 28(floors 1-4)Central Science and Technology Park,Shennan Road,Nanshan",Shenzhen  Guangdong  518057,CN
14:d8:64,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24(floors 1,3,4,5)and 28(floors 1-4)Central Science and Technology Park,Shennan Road,Nanshan",Shenzhen  Guangdong  518057,CN
b8:51:a9,Nokia,600 March Road,Kanata  Ontario  K2K 2E6,CA
d0:77:ce,Edgecore Networks Corporation,1 Creation RD 3.,Hsinchu    30077,TW
ec:af:f9,Hailo Technologies Ltd.,94 Yigal Alon,Tel Aviv    6789139,IL
60:15:2b,Palo Alto Networks,3000 Tannery Way,Santa Clara  CA  95054,US
28:ec:22,eero inc.,660 3rd Street,San Francisco  CA  94107,US
40:d4:f6,"Honor Device Co., Ltd.","Suite 3401, Unit A, Building 6, Shum Yip Sky Park, No. 8089, Hongli West Road, Xiangmihu Street, Futian District",Shenzhen   Guangdong  518040,CN
7c:31:80,SMK corporation,6-5-5 Togoshi,Shinagawa    1428511,JP
78:2d:ad,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808,CN
d0:61:58,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808,CN
24:4b:f1,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808,CN
44:d7:7e,Robert Bosch GmbH,Tuebinger Str. 123,Reutlingen    72762,DE
00:16:f6,Nevion,Lysaker Torg 5,Lysaker    NO-1366,NO
9c:73:b1,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong",Gumi  Gyeongbuk  730-350,KR
38:8a:06,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong",Gumi  Gyeongbuk  730-350,KR
b0:d8:88,"Panasonic Automotive Systems Co.,Ltd",5652,Matsumoto City  Nagano  399-8730,JP
84:3e:1d,"Hui Zhou Gaoshengda Technology Co.,LTD","No.2,Jin-da Road,Huinan Industrial Park",Hui Zhou  Guangdong  516025,CN
40:ed:00,TP-Link Corporation Limited,"Room 901,9/F.New East Ocean Centre, 9 Science Museum Road",Tsim Sha Tsui  Kowloon  999077,HK
90:88:55,"Cisco Systems, Inc",80 West Tasman Drive,San Jose  CA  94568,US
68:71:61,"Cisco Systems, Inc",80 West Tasman Drive,San Jose  CA  94568,US
88:3f:37,"UHTEK CO., LTD.","403DONG 503HO, 655 PYEONGCHEON-RO",BUCHEONSI  KYEONGGIDO  14502,KR
48:93:dc,UNIWAY INFOCOM PVT LTD,BLOCK C 9 4 WAZIRPUR INDUSTRIAL AREA,NEW DELHI  DELHI  110052,IN
5c:e6:88,VECOS Europe B.V.,ESP 237,Eindhoven  Noord-Brabant  5633 AD,NL
d4:ba:fa,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,",DONG GUAN  GUANG DONG  523860,CN
00:80:b8,"DMG MORI Digital Co., LTD","1-1-14 Techno park,","Shimonopporo, Atsubetsuku, Sapporo  Hokkaido  004-0015",JP
28:73:f6,Amazon Technologies Inc.,P.O Box 8102,Reno  NV  89507,US
c4:eb:ff,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China",shenzhen   guangdong  518057,CN
5c:28:86,Inventec(Chongqing) Corporation,"No.66 West District 2nd Rd, Shapingba District",Chongqing  Chongqing  401331,CN
20:15:82,"Apple, Inc.",1 Infinite Loop,Cupertino  CA  95014,US
e0:cb:1d,Amazon Technologies Inc.,P.O Box 8102,Reno  NV  89507,US
fc:84:a7,"Murata Manufacturing Co., Ltd.","1-10-1, Higashikotari",Nagaokakyo-shi  Kyoto  617-8555,JP
40:92:1a,"Apple, Inc.",1 Infinite Loop,Cupertino  CA  95014,US
10:e2:c9,"Apple, Inc.",1 Infinite Loop,Cupertino  CA  95014,US
4c:ec:0f,"Cisco Systems, Inc",80 West Tasman Drive,San Jose  CA  94568,US
3c:cb:4d,"Avikus Co., Ltd","11F, 70, Nonhyeon-ro 85-gil",Gangnam-gu  Seoul  06234,KR
24:a4:2c,NETIO products a.s.,U Pily 3,Prague    143 00,CZ
70:2f:86,Marquardt GmbH,Schloss-Strasse 16,Rietheim-Weilheim    78604,DE
a8:88:1f,SERVERCOM (INDIA) PRIVATE LIMITED,E-43/1 OKHLA INDUSTRIAL AREA PHASE-II NEW DELHI SOUTH DELHI,NEW DELHI    NA,IN
60:1b:52,Vodafone Italia S.p.A.,Via Lorenteggio nr. 240,Milan  Italy  20147,IT
c0:8f:20,"Shenzhen Skyworth Digital Technology CO., Ltd","4F,Block A, Skyworth?Building,",Shenzhen  Guangdong  518057,CN
08:ff:24,"Shenzhen Skyworth Digital Technology CO., Ltd","4F,Block A, Skyworth?Building,",Shenzhen  Guangdong  518057,CN
90:b6:7a,"Shenzhen Skyworth Digital Technology CO., Ltd","4F,Block A, Skyworth?Building,",Shenzhen  Guangdong  518057,CN
24:9a:c8,"Shenzhen Skyworth Digital Technology CO., Ltd","4F,Block A, Skyworth?Building,",Shenzhen  Guangdong  518057,CN
28:c0:1b,"Shenzhen Skyworth Digital Technology CO., Ltd","4F,Block A, Skyworth?Building,",Shenzhen  Guangdong  518057,CN
00:50:79,Private,,"E0-28-B1   (hex)		Shenzhen Skyworth Digital  Technology  CO., Ltd","E028B1     (base 16)		Shenzhen Skyworth Digital  Technology  CO., Ltd"
30:31:80,"Shenzhen Skyworth Digital Technology CO., Ltd","4F,Block A, Skyworth?Building,",Shenzhen  Guangdong  518057,CN
38:a8:51,"Quickset Defense Technologies, LLC",3650 Woodhead Drive,Northbrook   IL  60062,US
04:36:b8,I&C Technology,"I&C Building, 24, Pangyo-ro 255beon-gil, Bundang-gu",Seongnam-si  Gyeonggi-do  13486,KR
d0:43:1e,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
20:47:47,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
f0:a0:b1,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808,CN
40:4f:42,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808,CN
30:86:f1,"Fiberhome Telecommunication Technologies Co.,LTD",No.5 DongXin Road,Wuhan  Hubei  430074,CN
84:7b:eb,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
98:90:96,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
80:18:44,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
98:40:bb,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
d4:81:d7,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
00:b0:d0,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
00:19:b9,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
00:1a:a0,Dell Inc.,"One Dell Way,  MS RR5-45",Round Rock    78682,US
00:25:64,Dell Inc.,"One Dell Way, MS RR5-45",Round Rock    78682,US
a4:ba:db,Dell Inc.,"One Dell Way, MS RR5-45",Round Rock    78682,US
00:1c:23,Dell Inc.,"One Dell Way,  MS RR5-45",Round Rock    78682,US
11:00:aa,Private,,9C-93-E4   (hex)		Private,9C93E4     (base 16)		Private
78:2b:cb,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
14:fe:b5,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
18:03:73,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
74:86:7a,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
a4:1f:72,Dell Inc.,One Dell way,Round Rock     78682,US
00:c0:4f,Dell Inc.,1807 WEST BRAKER LANE-BLDG.,AUSTIN  TX  78758-3610,US
00:0b:db,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
00:12:3f,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
00:cb:00,Private,,44-20-63   (hex)		Continental Automotive Technologies GmbH,442063     (base 16)		Continental Automotive Technologies GmbH
58:10:31,"Hon Hai Precision IND.CO.,LTD",No. 66 Chung Shan Road TU-Cheng Industrial district TAIPEI TAIWAN,TAIPEI  TAIWAN  33859,CN
54:bf:64,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
cc:c5:e5,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
4c:d9:8f,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
dc:f4:01,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
